epsilon,leakage,utility,mask_size
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.5001220777635353,4
0.1,1.0,-0.5002746749679546,9
0.1,1.0,-0.500183116645303,6
0.1,0.0,-0.00027467496795458707,9
0.1,0.0,-0.00027467496795458707,9
0.1,0.0,-0.0003051944088384301,10
0.1,0.0,-0.0003051944088384301,10
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5002746749679546,9
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5002441555270707,8
0.1,1.0,-0.5002441555270707,8
0.1,1.0,-0.5002136360861869,7
0.1,1.0,-0.5003051944088385,10
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5000915583226515,3
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5001220777635353,4
0.1,0.0,-0.00024415552707074406,8
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5001220777635353,4
0.1,0.0,-0.00024415552707074406,8
0.1,1.0,-0.5002441555270707,8
0.1,1.0,-0.5001525972044192,5
0.1,0.0,-0.00024415552707074406,8
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5002441555270707,8
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.5000915583226515,3
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.5001220777635353,4
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5003051944088385,10
0.1,1.0,-0.5002136360861869,7
0.1,1.0,-0.5003357138497223,11
0.1,1.0,-0.5001220777635353,4
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5001525972044192,5
0.1,1.0,-0.5002136360861869,7
0.1,1.0,-0.5000915583226515,3
0.1,1.0,-0.5002746749679546,9
0.1,0.0,-0.0003051944088384301,10
0.1,1.0,-0.500183116645303,6
0.1,1.0,-0.5002136360861869,7
0.1,1.0,-0.5001220777635353,4
0.1,1.0,-0.5003051944088385,10
0.1,1.0,-0.5019540791402052,8
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5021983390327308,9
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5007327796775769,3
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5021983390327308,9
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5002442598925256,1
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5019540791402052,8
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5007327796775769,3
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5017098192476795,7
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5009770395701025,4
0.1,1.0,-0.5012212994626283,5
0.1,1.0,-0.5014655593551539,6
0.1,1.0,-0.500305213038701,5
0.1,1.0,-0.5001220852154804,2
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5002441704309608,4
0.1,1.0,-0.5006714686851422,11
0.1,1.0,-0.5004883408619216,8
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.500305213038701,5
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5002441704309608,4
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5001831278232206,3
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004883408619216,8
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.500305213038701,5
0.1,1.0,-0.500305213038701,5
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5004883408619216,8
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5001831278232206,3
0.1,1.0,-0.5002441704309608,4
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5004883408619216,8
0.1,1.0,-0.500305213038701,5
0.1,1.0,-0.5002441704309608,4
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5004272982541814,7
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5005493834696618,9
0.1,1.0,-0.5003662556464412,6
0.1,1.0,-0.5118110236220472,3
0.1,1.0,-0.5039370078740157,1
0.1,9.999778782798785e-13,-0.01574803149656298,4
0.1,9.999778782798785e-13,-0.01574803149656298,4
0.1,1.0,-0.5118110236220472,3
0.1,9.999778782798785e-13,-0.01968503937057873,5
0.1,9.999778782798785e-13,-0.01968503937057873,5
0.1,1.999955756559757e-12,-0.01574803149706297,4
0.1,1.0,-0.5078740157480315,2
0.1,0.0,-0.01968503937007874,5
