beta,leakage,utility,mask_size
0.5,0.0,-5.0,10
0.5,1.0,-6.0,10
0.5,0.0,-5.0,10
0.5,1.0,-6.0,10
0.5,0.0,-5.0,10
0.5,0.0,-4.5,9
0.5,0.0,-5.0,10
0.5,0.0,-5.0,10
0.5,1.0,-6.0,10
0.5,0.0,-5.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-3.5,5
0.5,1.0,-6.0,10
0.5,1.0,-5.5,9
0.5,1.0,-3.5,5
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-5.5,9
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-5.0,8
0.5,1.0,-3.5,5
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-6.0,10
0.5,1.0,-1.0,0
0.5,1.0,-3.0,4
0.5,0.0,-3.5,7
0.5,0.0,-3.5,7
0.5,0.0,-3.5,7
0.5,0.0,-3.5,7
0.5,0.0,-3.5,7
0.5,0.0,-2.5,5
0.5,1.0,-1.0,0
0.5,0.0,-2.5,5
0.5,1.0,-1.5,1
0.5,0.0,-5.0,10
0.5,0.0,-4.5,9
0.5,0.0,-4.5,9
0.5,0.0,-3.5,7
0.5,0.0,-4.5,9
0.5,0.0,-4.5,9
0.5,0.0,-4.5,9
0.5,0.0,-3.5,7
0.5,0.0,-5.0,10
beta,leakage,utility,mask_size
1.0,0.0,-10.0,10
1.0,1.0,-11.0,10
1.0,1.0,-1.0,0
1.0,0.0,-8.0,8
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,0.0,-10.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-10.0,9
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-8.0,7
1.0,1.0,-10.0,9
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,1.0,-11.0,10
1.0,9.999778782798785e-13,-5.000000000001,5
1.0,0.0,-7.0,7
1.0,1.0,-4.0,3
1.0,1.0,-3.0,2
1.0,1.0,-3.0,2
1.0,0.0,-7.0,7
1.0,1.0,-1.0,0
1.0,0.0,-6.0,6
1.0,0.0,-6.0,6
1.0,0.0,-7.0,7
1.0,0.0,-9.0,9
1.0,0.0,-8.0,8
1.0,1.0,-6.0,5
1.0,0.0,-10.0,10
1.0,0.0,-9.0,9
1.0,0.0,-5.0,5
1.0,0.0,-8.0,8
1.0,0.0,-10.0,10
1.0,0.0,-8.0,8
1.0,0.0,-6.0,6
beta,leakage,utility,mask_size
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,0.0,-15.0,10
1.5,0.0,-15.0,10
1.5,1.0,-16.0,10
1.5,0.0,-15.0,10
1.5,1.0,-8.5,5
1.5,1.0,-13.0,8
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-7.0,4
1.5,1.0,-16.0,10
1.5,1.0,-10.0,6
1.5,1.0,-4.0,2
1.5,1.0,-7.0,4
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,1.0,-16.0,10
1.5,0.0,-9.0,6
1.5,0.0,-9.0,6
1.5,0.0,-10.5,7
1.5,0.0,-10.5,7
1.5,0.0,-9.0,6
1.5,0.0,-10.5,7
1.5,9.999778782798785e-13,-7.500000000001,5
1.5,0.0,-10.5,7
1.5,1.0,-2.5,1
1.5,0.0,-10.5,7
1.5,0.0,-10.5,7
1.5,0.0,-15.0,10
1.5,0.0,-13.5,9
1.5,0.0,-15.0,10
1.5,0.0,-7.5,5
1.5,1.0,-2.5,1
1.5,0.0,-15.0,10
1.5,0.0,-10.5,7
1.5,0.0,-6.0,4
1.5,0.0,-15.0,10
beta,leakage,utility,mask_size
2.0,1.0,-21.0,10
2.0,0.0,-20.0,10
2.0,0.0,-20.0,10
2.0,1.0,-17.0,8
2.0,1.0,-19.0,9
2.0,0.0,-20.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-17.0,8
2.0,1.0,-19.0,9
2.0,1.0,-21.0,10
2.0,1.0,-11.0,5
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-15.0,7
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-21.0,10
2.0,1.0,-9.0,4
2.0,9.999778782798785e-13,-12.000000000001,6
2.0,1.0,-7.0,3
2.0,0.0,-14.0,7
2.0,0.0,-10.0,5
2.0,1.0,-3.0,1
2.0,9.999778782798785e-13,-10.000000000001,5
2.0,9.999778782798785e-13,-10.000000000001,5
2.0,0.0,-8.0,4
2.0,0.0,-14.0,7
2.0,0.0,-18.0,9
2.0,0.0,-18.0,9
2.0,0.0,-18.0,9
2.0,0.0,-16.0,8
2.0,1.0,-9.0,4
2.0,0.0,-12.0,6
2.0,1.0,-11.0,5
2.0,0.0,-18.0,9
2.0,1.0,-13.0,6
2.0,0.0,-20.0,10
beta,leakage,utility,mask_size
2.5,1.0,-26.0,10
2.5,0.0,-25.0,10
2.5,0.0,-25.0,10
2.5,1.0,-26.0,10
2.5,0.0,-25.0,10
2.5,1.0,-13.5,5
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,0.0,-25.0,10
2.5,1.0,-26.0,10
2.5,1.0,-18.5,7
2.5,1.0,-26.0,10
2.5,1.0,-18.5,7
2.5,1.0,-21.0,8
2.5,1.0,-18.5,7
2.5,1.0,-3.5,1
2.5,1.0,-16.0,6
2.5,1.0,-13.5,5
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,1.0,-13.5,5
2.5,1.0,-26.0,10
2.5,1.0,-23.5,9
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,1.0,-16.0,6
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,1.0,-26.0,10
2.5,9.999778782798785e-13,-10.000000000001,4
2.5,1.0,-6.0,2
2.5,0.0,-15.0,6
2.5,1.999955756559757e-12,-7.500000000002,3
2.5,0.0,-10.0,4
2.5,9.999778782798785e-13,-10.000000000001,4
2.5,9.999778782798785e-13,-10.000000000001,4
2.5,0.0,-15.0,6
2.5,0.0,-15.0,6
2.5,9.999778782798785e-13,-12.500000000001,5
2.5,0.0,-22.5,9
2.5,0.0,-17.5,7
2.5,1.0,-13.5,5
2.5,0.0,-25.0,10
2.5,0.0,-25.0,10
2.5,0.0,-22.5,9
2.5,0.0,-25.0,10
2.5,0.0,-20.0,8
2.5,1.0,-21.0,8
2.5,0.0,-25.0,10
beta,leakage,utility,mask_size
3.0,1.0,-13.0,4
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-25.0,8
3.0,1.0,-31.0,10
3.0,0.0,-30.0,10
3.0,1.0,-31.0,10
3.0,0.0,-30.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-4.0,1
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-28.0,9
3.0,1.0,-19.0,6
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-25.0,8
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
3.0,1.0,-31.0,10
