epsilon,leakage,utility,mask_size
0.1,0.0,-0.22222222222222227,10
0.1,1.0,-0.711111111111111,2
0.1,1.0,-0.711111111111111,2
0.1,1.0,-0.7555555555555555,4
0.1,1.0,-0.6888888888888889,1
0.1,1.0,-0.8222222222222222,7
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.7555555555555555,4
0.1,0.0,-0.26666666666666666,12
0.1,0.0,-0.33333333333333337,15
0.1,0.0,-0.24444444444444446,11
0.1,1.0,-0.711111111111111,2
0.1,0.0,-0.2888888888888889,13
0.1,0.0,-0.33333333333333337,15
0.1,0.0,-0.24444444444444446,11
0.1,1.0,-0.7555555555555555,4
0.1,0.0,-0.3111111111111111,14
0.1,0.0,-0.33333333333333337,15
0.1,0.0,-0.3111111111111111,14
0.1,1.0,-0.8222222222222222,7
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.6666666666666666,0
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.6888888888888889,1
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.6888888888888889,1
0.1,0.0,-0.33333333333333337,15
0.1,1.0,-0.7777777777777778,5
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.711111111111111,2
0.1,0.0,-0.26666666666666666,12
0.1,0.0,-0.33333333333333337,15
0.1,1.0,-0.7555555555555555,4
0.1,0.0,-0.33333333333333337,15
0.1,1.0,-0.7333333333333333,3
0.1,1.0,-0.7777777777777778,5
0.1,1.0,-0.8222222222222222,7
0.1,1.0,-0.7999999999999999,6
0.1,0.0,-0.22222222222222227,10
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.8666666666666667,9
0.1,1.0,-0.6666666666666666,0
0.1,0.0,-0.24444444444444446,11
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.6888888888888889,1
0.1,1.0,-0.8888888888888888,10
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.9111111111111111,11
0.1,0.0,-0.26666666666666666,12
0.1,0.0,-0.26666666666666666,12
0.1,1.0,-0.7999999999999999,6
0.1,0.0,-0.20000000000000004,9
0.1,0.0,-0.24444444444444446,11
0.1,1.0,-0.8222222222222222,7
0.1,1.0,-0.8888888888888888,10
0.1,1.0,-0.8222222222222222,7
0.1,1.0,-0.7555555555555555,4
0.1,0.0,-0.33333333333333337,15
0.1,0.0,-0.33333333333333337,15
0.1,1.0,-0.8444444444444444,8
0.1,0.0,-0.3111111111111111,14
0.1,0.0,-0.26666666666666666,12
0.1,0.0,-0.33333333333333337,15
0.1,1.0,-0.7777777777777778,5
0.1,1.0,-0.6888888888888889,1
0.1,1.0,-0.7333333333333333,3
0.1,0.0,-0.2888888888888889,13
0.1,0.0,-0.3111111111111111,14
0.1,1.0,-0.7555555555555555,4
0.1,1.0,-0.8444444444444444,8
0.1,1.0,-0.6888888888888889,1
0.1,1.0,-0.8888888888888888,10
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.7777777777777778,5
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.8444444444444444,8
0.1,1.0,-0.7555555555555555,4
0.1,1.0,-0.8666666666666667,9
0.1,1.0,-0.8666666666666667,9
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.6888888888888889,1
0.1,0.0,-0.3111111111111111,14
0.1,1.0,-0.7333333333333333,3
0.1,0.0,-0.3111111111111111,14
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.8444444444444444,8
0.1,0.0,-0.26666666666666666,12
0.1,1.0,-0.711111111111111,2
0.1,1.0,-0.8666666666666667,9
0.1,0.0,-0.2888888888888889,13
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.7777777777777778,5
0.1,1.0,-0.7555555555555555,4
0.1,0.0,-0.3111111111111111,14
0.1,1.0,-0.7999999999999999,6
0.1,1.0,-0.8444444444444444,8
0.1,0.0,-0.26666666666666666,12
0.1,1.0,-0.9333333333333333,12
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.7222222222222222,2
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.8333333333333333,6
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.8333333333333333,6
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.7222222222222222,2
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.8333333333333333,6
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.75,3
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.75,3
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.75,3
0.1,1.0,-0.8333333333333333,6
0.1,1.0,-0.7222222222222222,2
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.7222222222222222,2
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.75,3
0.1,1.0,-0.861111111111111,7
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.861111111111111,7
0.1,1.0,-0.75,3
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9722222222222222,11
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.75,3
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.7777777777777778,4
0.1,1.0,-0.7222222222222222,2
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.9722222222222222,11
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.6944444444444444,1
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.7777777777777778,4
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.75,3
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.7777777777777778,4
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.7222222222222222,2
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.6666666666666666,0
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.7222222222222222,2
0.1,1.0,-0.8888888888888888,8
0.1,1.0,-0.861111111111111,7
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9722222222222222,11
0.1,1.0,-0.9444444444444444,10
0.1,1.0,-0.861111111111111,7
0.1,1.0,-0.7777777777777778,4
0.1,1.0,-0.6666666666666666,0
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.6666666666666666,0
0.1,1.0,-0.8333333333333333,6
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.8333333333333333,6
0.1,1.0,-0.861111111111111,7
0.1,0.0,-0.3333333333333333,12
0.1,1.0,-0.75,3
0.1,1.0,-0.8055555555555556,5
0.1,1.0,-0.9166666666666667,9
0.1,1.0,-0.75,3
0.1,1.0,-0.8823529411764706,11
0.1,1.0,-0.7254901960784313,3
0.1,1.0,-0.6862745098039216,1
0.1,1.0,-0.9215686274509804,13
0.1,1.0,-0.8235294117647058,8
