lambda,leakage,utility,mask_size
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.05,0
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.24,3
0.05,1.0,-0.05,0
0.05,1.0,-0.36666666666666664,5
0.05,1.0,-0.05,0
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.24,3
0.05,1.0,-0.05,0
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.05,0
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.36666666666666664,5
0.05,1.0,-0.05,0
0.05,1.0,-0.42999999999999994,6
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.36666666666666664,5
0.05,1.0,-0.24,3
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.24,3
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.17666666666666664,2
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.42999999999999994,6
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.05,0
0.05,1.0,-0.24,3
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.11333333333333333,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.4458333333333333,5
0.05,1.0,-0.20833333333333331,2
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.12916666666666665,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
