dataset,target_cell,tau,rho,mask_size,leakage
airport,home_link,0.2,1.0,0,0.173141
airport,home_link,0.2,1.0,1,0.160925
airport,home_link,0.2,1.0,1,0.173141
airport,home_link,0.2,1.0,1,0.120426
airport,home_link,0.2,1.0,1,0.173141
airport,home_link,0.2,1.0,1,0.126344
airport,home_link,0.2,1.0,1,0.173141
airport,home_link,0.2,1.0,2,0.160897
airport,home_link,0.2,1.0,2,0.106844
airport,home_link,0.2,1.0,2,0.160663
airport,home_link,0.2,1.0,2,0.116736
airport,home_link,0.2,1.0,2,0.160896
airport,home_link,0.2,1.0,2,0.109040
airport,home_link,0.2,1.0,2,0.173141
airport,home_link,0.2,1.0,2,0.120722
airport,home_link,0.2,1.0,2,0.173141
airport,home_link,0.2,1.0,2,0.108838
airport,home_link,0.2,1.0,2,0.034794
airport,home_link,0.2,1.0,2,0.108600
airport,home_link,0.2,1.0,2,0.116132
airport,home_link,0.2,1.0,2,0.173141
airport,home_link,0.2,1.0,2,0.120516
airport,home_link,0.2,1.0,3,0.095154
airport,home_link,0.2,1.0,3,0.160635
airport,home_link,0.2,1.0,3,0.111521
airport,home_link,0.2,1.0,3,0.160868
airport,home_link,0.2,1.0,3,0.094855
airport,home_link,0.2,1.0,3,0.029511
airport,home_link,0.2,1.0,3,0.094704
airport,home_link,0.2,1.0,3,0.107328
airport,home_link,0.2,1.0,3,0.160634
airport,home_link,0.2,1.0,3,0.111331
airport,home_link,0.2,1.0,3,0.095018
airport,home_link,0.2,1.0,3,0.023916
airport,home_link,0.2,1.0,3,0.094733
airport,home_link,0.2,1.0,3,0.109345
airport,home_link,0.2,1.0,3,0.173141
airport,home_link,0.2,1.0,3,0.114234
airport,home_link,0.2,1.0,3,0.021020
airport,home_link,0.2,1.0,3,0.094486
airport,home_link,0.2,1.0,3,0.023549
airport,home_link,0.2,1.0,3,0.109097
airport,home_link,0.2,1.0,4,0.080702
airport,home_link,0.2,1.0,4,0.019616
airport,home_link,0.2,1.0,4,0.080473
airport,home_link,0.2,1.0,4,0.101083
airport,home_link,0.2,1.0,4,0.160607
airport,home_link,0.2,1.0,4,0.105513
airport,home_link,0.2,1.0,4,0.017748
airport,home_link,0.2,1.0,4,0.080158
airport,home_link,0.2,1.0,4,0.019284
airport,home_link,0.2,1.0,4,0.100856
airport,home_link,0.2,1.0,4,0.010661
airport,home_link,0.2,1.0,4,0.077659
airport,home_link,0.2,1.0,4,0.012555
airport,home_link,0.2,1.0,4,0.101519
airport,home_link,0.2,1.0,4,0.010320
airport,home_link,0.2,1.0,5,0.008654
airport,home_link,0.2,1.0,5,0.062932
airport,home_link,0.2,1.0,5,0.009456
airport,home_link,0.2,1.0,5,0.093896
airport,home_link,0.2,1.0,5,0.008358
airport,home_link,0.2,1.0,5,0.000474
airport,home_link,0.2,1.0,6,0.000000
airport,home_link,0.3,1.0,0,0.173141
airport,home_link,0.3,1.0,1,0.167744
airport,home_link,0.3,1.0,1,0.173141
airport,home_link,0.3,1.0,1,0.152375
airport,home_link,0.3,1.0,1,0.173141
