epsilon,leakage,utility,mask_size
0.1,0.0,-5.0,10
0.1,0.9984,-5.4984,9
0.1,0.0,-5.0,10
0.1,0.9999998976,-5.9999998976,10
0.1,0.8,-5.8,10
0.1,0.9999872,-5.9999872,10
0.1,0.992,-5.992,10
0.1,0.8,-5.3,9
0.1,0.9984,-3.9984,6
0.1,0.9999999999999999,-2.0,2
-----hospital-----
epsilon,leakage,utility,mask_size
0.1,0.9999999991808,-2.4999999991808,3
0.1,0.9999998976,-5.9999998976,10
0.1,0.9999999991808,-1.9999999991808,2
0.1,0.9999999991808,-3.4999999991808,5
0.1,0.99999997952,-4.49999997952,7
0.1,0.99999997952,-5.99999997952,10
0.1,0.9999998976,-5.9999998976,10
0.1,0.99999997952,-5.49999997952,9
0.1,0.9999998976,-5.9999998976,10
0.1,0.9999998976,-5.9999998976,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-4.999999999993446,8
0.1,0.9999999999934464,-5.999999999993446,10
0.1,0.9999999999934464,-5.999999999993446,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
0.1,0.9999998976,-2.4999998976,3
0.1,0.96,-4.46,7
0.1,0.96,-4.46,7
0.1,0.96,-3.96,6
0.1,0.96,-2.46,3
0.1,0.96,-4.46,7
0.1,0.96,-4.46,7
0.1,0.96,-4.46,7
0.1,0.96,-3.46,5
0.1,0.96,-3.46,5
-----adult-----
epsilon,leakage,utility,mask_size
0.1,0.9984,-2.4984,3
0.1,0.9984,-1.9984,2
0.1,0.9984,-2.4984,3
0.1,0.99968,-1.4996800000000001,1
0.1,0.9984,-2.9984,4
0.1,0.99968,-0.99968,0
0.1,0.99968,-0.99968,0
0.1,0.9984,-2.4984,3
0.1,0.9984,-2.4984,3
0.1,0.9984,-3.4984,5
-----airport-----
epsilon,leakage,utility,mask_size
0.2,0.0,-5.0,10
0.2,0.96,-5.96,10
0.2,0.8,-5.8,10
0.2,0.9999999999999996,-1.9999999999999996,2
0.2,0.992,-5.492,9
0.2,0.8,-5.8,10
0.2,0.96,-5.96,10
0.2,0.9984,-5.9984,10
0.2,0.8,-4.8,8
0.2,0.0,-5.0,10
-----hospital-----
epsilon,leakage,utility,mask_size
0.2,0.9999998976,-5.4999998976,9
0.2,0.999999995904,-4.499999995904,7
0.2,0.99999997952,-5.99999997952,10
0.2,0.9999998976,-5.9999998976,10
0.2,0.99999997952,-5.49999997952,9
0.2,0.99999997952,-5.99999997952,10
0.2,0.999999995904,-4.999999995904,8
0.2,0.99999997952,-5.99999997952,10
0.2,0.9999999991808,-1.4999999991808,1
0.2,0.9999998976,-5.9999998976,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-0.9999999999934464,0
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-4.999999999993446,8
0.2,0.9999999999934464,-5.999999999993446,10
0.2,0.9999999999934464,-5.499999999993446,9
0.2,0.9999999999934464,-5.999999999993446,10
-----Onlineretail-----
epsilon,leakage,utility,mask_size
0.2,0.992,-3.492,5
0.2,0.9999872,-1.9999872,2
0.2,0.992,-2.492,3
0.2,0.9984,-3.4984,5
0.2,0.96,-3.46,5
0.2,0.96,-3.46,5
0.2,0.96,-3.46,5
0.2,0.96,-4.46,7
0.2,0.99999997952,-0.99999997952,0
0.2,0.99999997952,-1.49999997952,1
-----adult-----
epsilon,leakage,utility,mask_size
0.2,0.99968,-1.4996800000000001,1
0.2,0.99968,-1.4996800000000001,1
0.2,0.9984,-1.9984,2
0.2,0.9984,-2.4984,3
0.2,0.99968,-0.99968,0
0.2,0.9984,-3.4984,5
